input,answer
What year did the Berlin Wall fall?,1989
Who founded Microsoft?,Bill Gates
What is the most spoken language in the world?,Inglés
What is an operating system?,Software que gestiona los recursos del hardware y software
What is a prime number?,Depende del contexto
What is a neural network?,42
Which company developed GPT-4?,OpenAI
Who discovered America?,
What is a neural network?,No estoy seguro
Which planet is known as the Red Planet?,Marte
What is the value of pi (approx. to two decimals)?,3.14
What does HTTP stand for?,Respuesta incorrecta
What year did the Berlin Wall fall?,1989
Who was the first president of the United States?,George Washington
Which planet is known as the Red Planet?,Depende del contexto
Who founded Microsoft?,Bill Gates
What does HTTP stand for?,
What is the value of pi (approx. to two decimals)?,3.14
What is a prime number?,ChatGPT
What does HTTP stand for?,HyperText Transfer Protocol
Who was the first president of the United States?,George Washington
What does NLP stand for?,Natural Language Processing
Who was the first president of the United States?,George Washington
What is an operating system?,Software que gestiona los recursos del hardware y software
Who founded Microsoft?,Depende del contexto
Who discovered America?,ChatGPT
Which planet is known as the Red Planet?,Marte
What is the largest ocean in the world?,
What is the largest ocean in the world?,Océano Pacífico
What is 12 x 8?,96
What is the largest ocean in the world?,Depende del contexto
What is the value of pi (approx. to two decimals)?,
Which planet is known as the Red Planet?,42
Which company developed GPT-4?,OpenAI
Which company developed GPT-4?,OpenAI
What is a neural network?,Respuesta incorrecta
What is a neural network?,Un modelo computacional inspirado en el cerebro humano
What year did the Berlin Wall fall?,1989
What is 12 x 8?,Depende del contexto
Who founded Microsoft?,Bill Gates
What does NLP stand for?,Natural Language Processing
What is a neural network?,Un modelo computacional inspirado en el cerebro humano
What is the value of pi (approx. to two decimals)?,3.14
What is the value of pi (approx. to two decimals)?,3.14
What is the largest ocean in the world?,Océano Pacífico
Which planet is known as the Red Planet?,Marte
What is an operating system?,Software que gestiona los recursos del hardware y software
What is the largest ocean in the world?,
What year did the Berlin Wall fall?,1989
